split_policy,mode,model,seed,training_seed,params_million,ultralytics_version,fourier_enabled,image_fourier_enabled,feature_fourier_enabled,augmentation_family,augmentation_setting,augmentation_args_json,image_fourier_policy,image_fourier_sigmas,image_fourier_alphas,offline_augmentation_enabled,offline_augmentation_family,offline_augmentation_setting,offline_transform_order,offline_augmentation_splits,offline_fourier_splits,model_variant,model_yaml_key,model_yaml,fourier_module_policy,clean_light_aug_enabled,default_hook_enabled,base_params_million,preprocessing_policy,fourier_policy,fourier_sigma,fourier_alpha,baseline_augmentation_policy,hidden_albumentations_disabled,train_epochs_requested,train_patience,train_images,valid_images,test_images,actual_train_image_files,actual_valid_image_files,actual_test_image_files,train_coinfection_images,valid_coinfection_images,test_coinfection_images,train_bg_mask_images,valid_bg_mask_images,test_bg_mask_images,train_wssv_mask_images,valid_wssv_mask_images,test_wssv_mask_images,train_specimens,valid_specimens,test_specimens,train_test_group_overlap,valid_test_group_overlap,split_manifest_csv,split_fingerprint,epochs_ran,best_epoch_by_mask_map50,train_time_min,full_test_mask_map50,full_test_mask_map50_95,labeled_test_mask_map50,labeled_test_mask_map50_95,healthy_test_mask_fp_rate,healthy_test_fp_masks_per_image,labeled_test_disease_mask_miss_rate,labeled_test_mask_count_mae,healthy_aware_labeled_val_mask_map50,healthy_aware_labeled_test_mask_map50,best_pt,run_path
stratified_grouped_specimen,N2A,yolo11n-seg.pt,42,42,2.877,8.4.62,False,False,False,scale_fliplr,scale0p1_fliplr0p25,"{""fliplr"": {""fliplr"": 0.25}, ""scale"": {""scale"": 0.1}}",none,,,True,scale_fliplr,scale0p1_fliplr0p25,augmentation_only,train,none,baseline,,,none,False,False,2.877,none,none,,,offline_scale0p1_then_fliplr0p25,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/content/only_fourier_043_n2_scale_fliplr_three_run_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,58,9,41.23,0.3037344713921236,0.08190220177343216,0.3221439986989573,0.0875284164542098,0.2926829268292683,0.34146341463414637,0.18181818181818182,0.8693181818181818,0.2430089552115347,0.22213706965239413,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_scale_fliplr_augmentation_only/weights/best.pt,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_scale_fliplr_augmentation_only
stratified_grouped_specimen,N2B,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,scale_fliplr,scale0p1_fliplr0p25,"{""fliplr"": {""fliplr"": 0.25}, ""scale"": {""scale"": 0.1}}",highpass_s50_a0p10,50,0.1,True,scale_fliplr,scale0p1_fliplr0p25,augmentation_then_fourier,train,train|valid|test,baseline,,,none,False,False,2.877,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,offline_scale0p1_then_fliplr0p25,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/content/only_fourier_043_n2_scale_fliplr_three_run_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,64,18,45.53,0.2712447375619774,0.08132351773181087,0.32425295346345995,0.09785113231879836,0.2682926829268293,0.2926829268292683,0.5340909090909091,0.6893939393939393,0.17340630156341313,0.18284035183744368,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_scale_fliplr_augmentation_then_fourier/weights/best.pt,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_scale_fliplr_augmentation_then_fourier
stratified_grouped_specimen,N2C,yolo11n-seg.pt,42,42,2.877,8.4.62,True,True,False,scale_fliplr,scale0p1_fliplr0p25,"{""fliplr"": {""fliplr"": 0.25}, ""scale"": {""scale"": 0.1}}",highpass_s50_a0p10,50,0.1,True,scale_fliplr,scale0p1_fliplr0p25,fourier_then_augmentation,train,train|valid|test,baseline,,,none,False,False,2.877,highpass_s50_a0p10,highpass_s50_a0p10,50,0.1,offline_scale0p1_then_fliplr0p25,True,100,40,905,115,129,905,115,129,173,21,26,326,42,50,431,53,64,331,40,45,0,0,/content/only_fourier_043_n2_scale_fliplr_three_run_fourier_order_offline_colab_seed42/reports/split_manifests/stratified_grouped_specimen_seed42_manifest.csv,1ffd4a250deb11598f09a0a25d1cd1522811b6e010b0228c3c60176029ff9fcb,51,9,36.74,0.22141931111367302,0.059383439179164096,0.2500222716590144,0.06733454172023644,0.3170731707317073,0.3902439024390244,0.29545454545454547,0.6931818181818182,0.17306750201192156,0.13933768185857096,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_scale_fliplr_fourier_then_augmentation/weights/best.pt,/content/runs/segment/yolo11n-seg_shrimp_seg_stratified_grouped_specimen_seed42_stratified_grouped_specimen_yolo11n-seg_scale_fliplr_fourier_then_augmentation
